,director_name,actor_2_name,actor_1_name,clean_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,imdb_score,movieId,year,genres,budget,original_title,popularity,revenue,title,language_n,year_n,country_n,content_rating_n,director_name_n,actor_1_name_n,actor_2_name_n,actor_3_name_n
0,James Cameron,Joel David Moore,CCH Pounder,avatar,4834,Wes Studi,English,USA,PG-13,7.9,72998,2009,IMAX|Sci-Fi|Action|Fantasy|Adventure,237000000,Avatar,185.070892,2787965087.0,Avatar,1,5,1,1,5,5,4,4
1,Gore Verbinski,Orlando Bloom,Johnny Depp,pirates of the caribbean: at world's end,48350,Jack Davenport,English,USA,PG-13,7.1,53125,2007,Action|Comedy|Fantasy|Adventure,300000000,Pirates of the Caribbean: At World's End,31.363664,961000000.0,Pirates of the Caribbean: At World's End,1,5,1,1,5,27,7,3
2,Andrew Stanton,Samantha Morton,Daryl Sabara,john carter,1873,Polly Walker,English,USA,PG-13,6.6,93363,2012,Action|IMAX|Sci-Fi|Adventure,260000000,John Carter,14.670353,284139100.0,John Carter,1,5,1,1,3,3,9,2
3,Sam Raimi,James Franco,J.K. Simmons,spider-man 3,46055,Kirsten Dunst,English,USA,PG-13,6.2,52722,2007,Sci-Fi|IMAX|Romance|Thriller|Action|Adventure,258000000,Spider-Man 3,27.614265000000003,890871626.0,Spider-Man 3,1,5,1,1,6,22,21,22
5,Nathan Greno,Donna Murphy,Brad Garrett,tangled,2036,M.C. Gainey,English,USA,PG,7.8,81847,2010,IMAX|Children|Romance|Family|Animation|Adventure|Fantasy|Comedy|Musical,260000000,Tangled,14.684760999999998,591794936.0,Tangled,1,5,1,2,1,4,2,6
7,David Yates,Daniel Radcliffe,Alan Rickman,harry potter and the half-blood prince,58753,Rupert Grint,English,UK,PG,7.5,69844,2009,IMAX|Mystery|Romance|Family|Adventure|Fantasy,250000000,Harry Potter and the Half-Blood Prince,19.083723000000003,933959197.0,Harry Potter and the Half-Blood Prince,1,5,2,2,2,9,5,6
8,Bryan Singer,Marlon Brando,Kevin Spacey,superman returns,29991,Frank Langella,English,USA,PG-13,6.1,46530,2006,Action|IMAX|Sci-Fi|Adventure,270000000,Superman Returns,13.284711999999999,391081192.0,Superman Returns,1,5,1,1,5,15,5,10
9,Marc Forster,Mathieu Amalric,Giancarlo Giannini,quantum of solace,2023,Rory Kinnear,English,UK,PG-13,6.7,63113,2008,Action|Thriller|Adventure,200000000,Quantum of Solace,13.678120000000002,586090727.0,Quantum of Solace,1,5,2,1,7,3,3,3
10,Gore Verbinski,Orlando Bloom,Johnny Depp,pirates of the caribbean: dead man's chest,48486,Jack Davenport,English,USA,PG-13,7.3,45722,2006,Action|Fantasy|Adventure,200000000,Pirates of the Caribbean: Dead Man's Chest,29.455314,1065659812.0,Pirates of the Caribbean: Dead Man's Chest,1,5,1,1,5,27,7,3
11,Gore Verbinski,Ruth Wilson,Johnny Depp,the lone ranger,45757,Tom Wilkinson,English,USA,PG-13,6.5,121693,1938,Action|Western|Adventure,0,The Lone Ranger,0.889869,0.0,The Lone Ranger,1,2,1,1,5,27,3,15
