,movieId,title,genres_x,year,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres_y,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,id
0,1,toy story,Adventure|Animation|Children|Comedy|Fantasy,1995,Color,John Lasseter,166.0,74.0,487.0,802.0,John Ratzenberger,15000.0,191796233.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,623757,19046,Jim Varney,1.0,claw crane|cowboy|jealousy|rivalry|toy,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,391.0,English,USA,G,30000000.0,1995.0,1000.0,8.3,1.85,0,1588
1,10,goldeneye,Action|Adventure|Thriller,1995,Color,Martin Campbell,137.0,130.0,258.0,345.0,Joe Don Baker,394.0,106635996.0,Action|Adventure|Thriller,Izabella Scorupco,199025,1784,Tchéky Karyo,2.0,agent|cossack|official james bond series|russia|russian,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,416.0,English,UK,PG-13,58000000.0,1995.0,387.0,7.2,2.35,0,717
2,14,nixon,Drama,1995, Black and White,Oliver Stone,83.0,212.0,0.0,805.0,Bob Hoskins,12000.0,13560960.0,Biography|Drama|History,Anthony Hopkins,23996,21130,Joan Allen,0.0,courtship|election|paranoia|president|quaker,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,161.0,English,USA,R,50000000.0,1995.0,5000.0,7.1,2.35,915,1125
3,15,cutthroat island,Action|Adventure|Romance,1995,Color,Renny Harlin,61.0,124.0,212.0,810.0,Frank Langella,1000.0,11000000.0,Action|Adventure|Comedy,Christopher Masterson,21102,3611,Matthew Modine,3.0,latin|pirate|pirate ship|treasure|treasure map,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,169.0,English,USA,PG-13,98000000.0,1995.0,903.0,5.6,2.35,1000,350
4,16,casino,Crime|Drama,1995,Color,Martin Scorsese,133.0,178.0,17000.0,574.0,Don Rickles,22000.0,42438300.0,Biography|Crime|Drama,Robert De Niro,333542,24183,Kevin Pollak,2.0,car bomb|card cheat|cash|casino|gambling syndicate,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,533.0,English,USA,R,52000000.0,1995.0,721.0,8.2,2.35,11000,920
5,17,sense and sensibility,Drama|Romance,1995,Color,Ang Lee,69.0,136.0,0.0,1000.0,Kate Winslet,25000.0,42700000.0,Drama|Romance,Alan Rickman,78392,41059,Tom Wilkinson,2.0,1810s|female protagonist|horseback riding|inheritance|three word title,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,196.0,English,USA,PG,16500000.0,1995.0,14000.0,7.7,1.85,0,2535
6,18,four rooms,Comedy,1995,Color,Allison Anders,51.0,110.0,99.0,960.0,Alicia Witt,4000.0,4301331.0,Comedy|Fantasy,Salma Hayek,78241,7921,Lili Taylor,6.0,bellhop|coven|gangster|hotel|new year's eve,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1,177.0,English,USA,R,4000000.0,1995.0,975.0,6.7,1.85,0,3921
7,19,ace ventura: when nature calls,Comedy,1995,Color,Steve Oedekerk,59.0,90.0,176.0,460.0,Bob Gunton,531.0,108360000.0,Adventure|Comedy,Bruce Spence,160321,2203,Sophie Okonedo,0.0,africa|bat|hawaiian shirt|pregnancy|pregnant,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,178.0,English,USA,PG-13,30000000.0,1995.0,461.0,6.3,2.35,0,1597
8,20,money train,Action|Comedy|Crime|Drama|Thriller,1995,Color,Joseph Ruben,40.0,105.0,29.0,97.0,Robert Blake,584.0,35324232.0,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,32224,1132,Aida Turturro,1.0,bare breasts|breast|loan shark|subway|train,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,62.0,English,USA,R,68000000.0,1995.0,220.0,5.6,2.35,617,634
9,21,get shorty,Comedy|Crime|Thriller,1995,Color,Barry Sonnenfeld,96.0,105.0,188.0,482.0,Rene Russo,848.0,72077000.0,Comedy|Crime|Thriller,Delroy Lindo,62986,3439,Jon Gries,4.0,debt|loan shark|mobster|movie business|producer,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,150.0,English,USA,R,30250000.0,1995.0,808.0,6.9,1.85,0,1584
10,22,copycat,Crime|Drama|Horror|Mystery|Thriller,1995,Color,Jon Amiel,57.0,123.0,36.0,631.0,Holly Hunter,10000.0,32051917.0,Crime|Drama|Mystery|Thriller,William McNamara,42315,12338,Harry Connick Jr.,0.0,agoraphobia|copycat murder|detective|psychologist|serial killer,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,140.0,English,USA,R,20000000.0,1995.0,1000.0,6.6,2.35,0,2209
11,23,assassins,Action|Crime|Thriller,1995, Black and White,Richard Donner,61.0,132.0,503.0,282.0,Sylvester Stallone,45000.0,30306268.0,Action|Crime|Thriller,Muse Watson,62981,58528,Kelly Rowan,0.0,assassin|floppy disk|modem|rival|russian,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,84.0,English,France,R,50000000.0,1995.0,13000.0,6.3,1.85,0,999
12,25,leaving las vegas,Drama|Romance,1995,Color,Mike Figgis,123.0,111.0,81.0,687.0,Valeria Golino,12000.0,31968347.0,Drama|Romance,Nicolas Cage,93894,14823,Julian Sands,0.0,alcoholic|bar|love|prostitute|sex,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,286.0,English,USA,R,3600000.0,1995.0,898.0,7.6,1.66,0,3894
13,34,babe,Children|Drama,1995,Color,Chris Noonan,79.0,91.0,108.0,204.0,Christine Cavanaugh,405.0,66600000.0,Comedy|Drama|Family,Miriam Margolyes,94435,1185,Roscoe Lee Browne,0.0,dog|farmer|pig|sheep|sheepdog,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,182.0,English,Australia,G,30000000.0,1995.0,368.0,6.8,1.85,5000,1617
14,36,dead man walking,Crime|Drama,1995,Color,Tim Robbins,77.0,122.0,0.0,191.0,Celia Weston,276.0,39025000.0,Crime|Drama,Lois Smith,73193,903,Robert Prosky,0.0,death|execution|nun|solitary confinement|visit,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,190.0,English,UK,R,11000000.0,1995.0,258.0,7.6,1.85,0,3038
15,39,clueless,Comedy|Romance,1995,Color,Amy Heckerling,88.0,97.0,143.0,201.0,Dan Hedaya,927.0,56631572.0,Comedy|Romance,Donald Faison,123390,1724,Elisa Donovan,1.0,female protagonist|high school|makeover|matchmaker|popularity,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1,248.0,English,USA,PG-13,12000000.0,1995.0,281.0,6.8,1.85,0,2821
16,41,richard iii,Drama|War,1995,Color,Richard Loncraine,56.0,104.0,12.0,1000.0,Jim Broadbent,21000.0,2600000.0,Drama|War,Robert Downey Jr.,11612,23962,Kristin Scott Thomas,3.0,1930s|abuse of power|england|king|murder,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,88.0,English,UK,R,6000000.0,1995.0,1000.0,7.5,2.35,0,3271
17,7338,richard iii,Drama|War,1955,Color,Richard Loncraine,56.0,104.0,12.0,1000.0,Jim Broadbent,21000.0,2600000.0,Drama|War,Robert Downey Jr.,11612,23962,Kristin Scott Thomas,3.0,1930s|abuse of power|england|king|murder,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,88.0,English,UK,R,6000000.0,1995.0,1000.0,7.5,2.35,0,3271
18,89323,richard iii,Drama,1912,Color,Richard Loncraine,56.0,104.0,12.0,1000.0,Jim Broadbent,21000.0,2600000.0,Drama|War,Robert Downey Jr.,11612,23962,Kristin Scott Thomas,3.0,1930s|abuse of power|england|king|murder,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,88.0,English,UK,R,6000000.0,1995.0,1000.0,7.5,2.35,0,3271
19,43,restoration,Drama,1995,Color,Zack Ward,15.0,92.0,662.0,161.0,Anna Harr,662.0,,Horror,Zack Ward,436,1498,James Cullen Bressack,0.0,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,6.0,English,USA,,,2016.0,290.0,4.0,,378,2461
